Days,Date,NetPnL,Day
1,7/3/2023,489.55,Monday
2,7/4/2023,20069.63,Tuesday
3,7/5/2023,-18120.69,Wednesday
4,7/6/2023,16481.49,Thursday
5,7/7/2023,138.57,Friday
6,7/10/2023,-16765.06,Monday
7,7/11/2023,-23509.92,Tuesday
8,7/12/2023,11614.52,Wednesday
9,7/13/2023,-12890.77,Thursday
10,7/14/2023,-51890.57,Friday
11,7/17/2023,217269.4,Monday
12,7/18/2023,-37896.2,Tuesday
13,7/19/2023,-17961.96,Wednesday
14,7/20/2023,50163.45,Thursday
15,7/21/2023,-16196.99,Friday
16,7/24/2023,-23127.11,Monday
17,7/25/2023,-17412.88,Tuesday
18,7/26/2023,2351.83,Wednesday
19,7/27/2023,-35291.4,Thursday
20,7/28/2023,-27483.97,Friday
21,7/31/2023,-15256.26,Monday
22,8/1/2023,-50142.41,Tuesday
23,8/2/2023,309.56,Wednesday
24,8/3/2023,22754.98,Thursday
25,8/4/2023,-50492.76,Friday
26,8/7/2023,-24888.37,Monday
27,8/8/2023,70469.8,Tuesday
28,8/9/2023,39531.71,Wednesday
29,8/10/2023,675.53,Thursday
30,8/11/2023,1487.43,Friday
31,8/14/2023,22589.89,Monday
32,8/15/2023,18567.99,Tuesday
33,8/16/2023,-57227.4,Wednesday
34,8/17/2023,42810.88,Thursday
35,8/18/2023,46949.63,Friday
36,8/21/2023,-25691.8,Monday
37,8/22/2023,123388.93,Tuesday
38,8/23/2023,-72408.7,Wednesday
39,8/24/2023,-61620.77,Thursday
40,8/25/2023,21699.98,Friday
41,8/28/2023,-7614.77,Monday
42,8/29/2023,55282.28,Tuesday
43,8/30/2023,-28900.58,Wednesday
44,8/31/2023,-55310.11,Thursday
45,9/1/2023,22244.79,Friday
46,9/4/2023,3356.77,Monday
47,9/5/2023,9978.86,Tuesday
48,9/6/2023,20074.45,Wednesday
49,9/7/2023,95352.09,Thursday
50,9/8/2023,-36653.36,Friday
51,9/11/2023,82892.93,Monday
52,9/12/2023,74293.45,Tuesday
53,9/13/2023,-13571.01,Wednesday
54,9/14/2023,90388.82,Thursday
55,9/15/2023,-29162.33,Friday
56,9/18/2023,-2134.35,Monday
57,9/19/2023,30367.86,Tuesday
58,9/20/2023,49821.04,Wednesday
59,9/21/2023,39591.44,Thursday
60,9/22/2023,-54482.06,Friday
61,9/25/2023,78343.56,Monday
62,9/26/2023,38711.68,Tuesday
63,9/27/2023,-57785.88,Wednesday
64,9/28/2023,-69821.54,Thursday
65,9/29/2023,-20739.13,Friday
66,10/3/2023,10320.05,Tuesday
67,10/4/2023,57581.43,Wednesday
68,10/5/2023,-22419.16,Thursday
69,10/6/2023,-7449.94,Friday
70,10/7/2023,-16718.42,Saturday
71,10/8/2023,-22976.09,Sunday
72,10/9/2023,-36233.81,Monday
73,10/10/2023,-64002.43,Tuesday
74,10/11/2023,19439.45,Wednesday
75,10/12/2023,63346.35,Thursday
76,10/13/2023,-52559.05,Friday
77,10/14/2023,777.15,Saturday
78,10/15/2023,182159.43,Sunday
79,10/16/2023,-4286.77,Monday
80,10/17/2023,-22158.94,Tuesday
81,10/18/2023,25267.05,Wednesday
82,10/19/2023,16603.24,Thursday
83,10/20/2023,47594.9,Friday
84,10/23/2023,13196.52,Monday
85,10/25/2023,4655.77,Wednesday
86,10/26/2023,87199.3,Thursday
87,10/27/2023,-60782.57,Friday
88,10/30/2023,-37919.53,Monday
89,10/31/2023,8148.5,Tuesday
90,11/1/2023,-41953.76,Wednesday
91,11/2/2023,-94271.45,Thursday
92,11/3/2023,30199.28,Friday
93,11/6/2023,-11576.95,Monday
94,11/7/2023,93349.93,Tuesday
95,11/8/2023,44137.54,Wednesday
96,11/9/2023,22944.61,Thursday
97,11/10/2023,141485.42,Friday
98,11/13/2023,74122.16,Monday
99,11/15/2023,59887.13,Wednesday
100,11/16/2023,-71282.86,Thursday
101,11/17/2023,26755.68,Friday
102,11/20/2023,14629.19,Monday
103,11/21/2023,-15787.57,Tuesday
104,11/22/2023,-92810.33,Wednesday
105,11/23/2023,-9695.82,Thursday
106,11/24/2023,40137.1,Friday
107,11/28/2023,62379.65,Tuesday
108,11/29/2023,264660.81,Wednesday
109,11/30/2023,-64939.22,Thursday
110,12/1/2023,-42659.02,Friday
111,12/4/2023,-60111.48,Monday
112,12/5/2023,12682.97,Tuesday
113,12/6/2023,2934.24,Wednesday
114,12/7/2023,40353.15,Thursday
115,12/8/2023,-23963.24,Friday
116,12/11/2023,30281.77,Monday
117,12/12/2023,-47397,Tuesday
118,12/13/2023,28634.85,Wednesday
119,12/14/2023,-79068.07,Thursday
120,12/15/2023,5519.71,Friday
121,12/18/2023,-20808,Monday
122,12/19/2023,60591.38,Tuesday
123,12/20/2023,-77271.2,Wednesday
124,12/21/2023,-45140.9,Thursday
125,12/22/2023,13714.91,Friday
126,12/26/2023,36270.2,Tuesday
127,12/27/2023,40272.71,Wednesday
128,12/28/2023,39072.91,Thursday
129,12/29/2023,-38866.89,Friday
130,1/1/2024,56774.99,Monday
131,1/2/2024,-134143.32,Tuesday
132,1/3/2024,47046.75,Wednesday
133,1/4/2024,-56572.32,Thursday
134,1/5/2024,84389.1,Friday
